_id,identifier,target,class,allocated,permalink,bay,container,label,last_updated,notion_id,shelf,type,shcn,slot
64f11b87497c3069472994a7,5btu,#,inventory,true,https://joeeasterly.github.io/go/5btu,412,4122,9-drawer storage container,2023-10-12T20:40:29.463Z,440,41,storage,,
64f11ba5497c3069472f3ac7,gnbu,#,inventory,true,https://joeeasterly.github.io/go/gnbu,412,4120,39-drawer hardware organizer,2023-10-12T20:37:51.329Z,438,41,storage,,
64f11ba6497c3069472f799d,h52h,#,inventory,true,https://joeeasterly.github.io/go/h52h,412,4120,slot 4120F,2023-10-18T14:55:28.066Z,499,41,storage,4120F,4120F
64f11ba6497c3069472f799e,h52j,#,inventory,true,https://joeeasterly.github.io/go/h52j,412,4123,slot 41234,2023-10-17T18:24:59.213Z,479,41,storage,41234,41234
64f11ba6497c3069472f79a4,h52r,#,inventory,true,https://joeeasterly.github.io/go/h52r,412,4120,slot 4120G,2023-10-18T14:58:06.278Z,500,41,storage,4120G,4120G
64f11ba6497c3069472f79a5,h52s,#,inventory,true,https://joeeasterly.github.io/go/h52s,412,4123,slot 41235,2023-10-17T18:27:42.462Z,480,41,storage,41235,41235
64f11ba6497c3069472f79ac,h52z,#,inventory,true,https://joeeasterly.github.io/go/h52z,412,4123,slot 41232,2023-10-17T18:23:33.811Z,478,41,storage,41232,41232
64f11ba9497c306947301a85,jd9s,#,inventory,true,https://joeeasterly.github.io/go/jd9s,412,4123,9-slot shelving container,2023-10-13T19:06:46.746Z,448,41,storage,,
64f11bac497c3069473085fb,k85f,#,inventory,true,https://joeeasterly.github.io/go/k85f,412,4122,41229,2023-10-16T17:54:57.152Z,459,41,storage,41229,41229
64f11bac497c3069473085fc,k85g,#,inventory,true,https://joeeasterly.github.io/go/k85g,412,4120,slot 4120A,2023-10-17T20:34:13.257Z,492,41,storage,4120A,4120A
64f11bac497c306947308602,k85p,#,inventory,true,https://joeeasterly.github.io/go/k85p,412,4122,41228,2023-10-16T17:57:05.760Z,460,41,storage,41228,41228
64f11bac497c306947308603,k85q,#,inventory,true,https://joeeasterly.github.io/go/k85q,412,4120,slot 41206,2023-10-17T20:20:06.199Z,488,41,storage,41206,41206
64f11bac497c306947308609,k85w,#,inventory,true,https://joeeasterly.github.io/go/k85w,412,4122,slot 4122A,2023-10-16T18:01:03.532Z,461,41,storage,4122A,4122A
64f11bac497c30694730860a,k85x,#,inventory,true,https://joeeasterly.github.io/go/k85x,412,4120,slot 41204,2023-10-17T20:29:04.013Z,489,41,storage,41204,41204
64f11bac497c30694730861a,k86e,#,inventory,true,https://joeeasterly.github.io/go/k86e,412,4122,4122b,2023-10-16T17:51:34.806Z,458,41,storage,4122b,4122b
